Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-dynamic-import\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-flow,1,42,32,22,4,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-flow\lib,1,42,32,22,4,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-json-strings,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-json-strings\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-jsx,1,26,19,15,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-jsx\lib,1,26,19,15,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-nullish-coalescing-operator,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-nullish-coalescing-operator\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-numeric-separator,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-numeric-separator\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-object-rest-spread,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-object-rest-spread\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-optional-catch-binding,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-optional-catch-binding\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-optional-chaining,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-optional-chaining\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-top-level-await,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-top-level-await\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-typescript,1,48,38,29,4,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-typescript\lib,1,48,38,29,4,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-arrow-functions,1,30,25,18,2,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-arrow-functions\lib,1,30,25,18,2,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-async-to-generator,1,62,48,36,6,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-async-to-generator\lib,1,62,48,36,6,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-block-scoped-functions,1,56,42,31,4,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-block-scoped-functions\lib,1,56,42,31,4,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-block-scoping,2,824,668,506,128,156,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-block-scoping\lib,2,824,668,506,128,156,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-classes,2,642,507,359,73,135,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-classes\lib,2,642,507,359,73,135,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-computed-properties,1,175,147,99,22,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-computed-properties\lib,1,175,147,99,22,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-destructuring,1,547,447,331,96,100,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-destructuring\lib,1,547,447,331,96,100,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-dotall-regex,1,20,15,12,1,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-dotall-regex\lib,1,20,15,12,1,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-duplicate-keys,1,74,58,42,12,16,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-duplicate-keys\lib,1,74,58,42,12,16,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-exponentiation-operator,1,31,22,18,2,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-exponentiation-operator\lib,1,31,22,18,2,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-flow-strip-types,1,163,134,97,25,29,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-flow-strip-types\lib,1,163,134,97,25,29,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-for-of,1,294,246,169,27,48,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-for-of\lib,1,294,246,169,27,48,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-function-name,1,42,32,25,5,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-function-name\lib,1,42,32,25,5,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-literals,1,35,29,20,3,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-literals\lib,1,35,29,20,3,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-member-expression-literals,1,34,27,20,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-member-expression-literals\lib,1,34,27,20,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-amd,1,161,133,90,14,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-amd\lib,1,161,133,90,14,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-commonjs,1,196,162,118,22,34,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-commonjs\lib,1,196,162,118,22,34,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-systemjs,1,405,339,259,51,66,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-systemjs\lib,1,405,339,259,51,66,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-umd,1,174,146,103,15,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-modules-umd\lib,1,174,146,103,15,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-named-capturing-groups-regex,1,26,21,13,2,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-named-capturing-groups-regex\lib,1,26,21,13,2,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-new-target,1,77,60,44,12,17,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-new-target\lib,1,77,60,44,12,17,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-object-super,1,52,40,31,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-object-super\lib,1,52,40,31,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-parameters,3,484,404,270,54,80,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-parameters\lib,3,484,404,270,54,80,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-property-literals,1,33,26,19,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-transform-property-literals\lib,1,33,26,19,2,7,0,0,0,0,0
